LOSS FACTOR: 0.96
ARC: [54, 32, 9]
LAST LAYER: Tanh()
BATCH: 32
OPTIM: RMSprop
LOSS FNC: L1Loss()
mu_full;mu_step;mu_agg;mu_online;std_full;std_step;std_agg;std_online;phi_full;phi_step;phi_agg;phi_online;x_test_hit_full;x_test_hit_step;x_test_hit_agg;x_test_hit_online;normal_2_hit_full;normal_2_hit_step;normal_2_hit_agg;normal_2_hit_online;f1_hit_full;f2_hit_full;f3_hit_full;f4_hit_full;f1_hit_step;f2_hit_step;f3_hit_step;f4_hit_step;f1_hit_agg;f2_hit_agg;f3_hit_agg;f4_hit_agg;f1_hit_online;f2_hit_online;f3_hit_online;f4_hit_online
0.025800;0.026048;0.026048;0.026048;0.038156;0.038267;0.038267;0.039073;0.063956;0.064315;0.064315;0.065122;0.866333;0.866667;0.866667;0.868306;0.859539;0.859844;0.859844;0.861444;0.358440;1.000000;0.595890;1.000000;0.356670;1.000000;0.590360;1.000000;0.356670;1.000000;0.590360;1.000000;0.349140;1.000000;0.579720;1.000000
0.018699;0.019811;0.018861;0.022929;0.033231;0.038261;0.025192;0.048227;0.051930;0.058071;0.044053;0.071157;0.883000;0.892083;0.870250;0.904639;0.877956;0.886517;0.862500;0.898750;0.520760;1.000000;0.868080;1.000000;0.420270;1.000000;0.765270;1.000000;0.798750;1.000000;0.984300;1.000000;0.305990;1.000000;0.552690;1.000000
0.017019;0.016699;0.014750;0.020852;0.031411;0.030959;0.017445;0.051699;0.048429;0.047657;0.032195;0.072551;0.882278;0.881583;0.853361;0.909361;0.879017;0.878400;0.847328;0.904328;0.562850;1.000000;0.967110;1.000000;0.585190;1.000000;0.972350;1.000000;0.982270;1.000000;1.000000;1.000000;0.291350;1.000000;0.509710;1.000000
0.016529;0.016316;0.012382;0.019718;0.030488;0.029090;0.012751;0.053816;0.047017;0.045406;0.025133;0.073534;0.882667;0.879250;0.840083;0.911278;0.879633;0.876572;0.828761;0.906894;0.592480;1.000000;0.998920;1.000000;0.663410;1.000000;0.999400;1.000000;0.991570;1.000000;1.000000;1.000000;0.287070;1.000000;0.514860;1.000000
0.015807;0.016109;0.010699;0.018997;0.030085;0.031767;0.009672;0.055721;0.045892;0.047877;0.020371;0.074718;0.883556;0.887056;0.825472;0.912833;0.881506;0.884900;0.803400;0.909733;0.653330;1.000000;0.998880;1.000000;0.579440;1.000000;0.997880;1.000000;0.996660;1.000000;1.000000;1.000000;0.284040;1.000000;0.485990;1.000000
0.015890;0.016025;0.009561;0.018501;0.029889;0.030037;0.007497;0.057091;0.045779;0.046062;0.017058;0.075592;0.884917;0.885167;0.802167;0.914028;0.882750;0.882983;0.768789;0.911017;0.732480;1.000000;0.999620;1.000000;0.719790;1.000000;0.999590;1.000000;0.999240;1.000000;1.000000;1.000000;0.287010;1.000000;0.517030;1.000000
0.015271;0.016063;0.008684;0.018153;0.029508;0.032428;0.005968;0.058416;0.044779;0.048491;0.014652;0.076569;0.885667;0.891500;0.784528;0.917222;0.883917;0.889139;0.746383;0.914861;0.774790;1.000000;0.999930;1.000000;0.628700;1.000000;0.999300;1.000000;0.999500;1.000000;1.000000;1.000000;0.284590;1.000000;0.558720;1.000000
0.014886;0.014103;0.007960;0.017647;0.029477;0.026488;0.004842;0.059190;0.044363;0.040592;0.012802;0.076837;0.886778;0.880861;0.770389;0.919444;0.884878;0.879783;0.737256;0.917728;0.762180;1.000000;0.999730;1.000000;0.879630;1.000000;1.000000;1.000000;0.999640;1.000000;1.000000;1.000000;0.278900;1.000000;0.625570;1.000000
0.014568;0.014062;0.007386;0.017248;0.029311;0.028273;0.004020;0.059956;0.043880;0.042335;0.011406;0.077205;0.886778;0.884361;0.761278;0.918556;0.885361;0.883194;0.716017;0.916861;0.755780;1.000000;0.999070;1.000000;0.812840;1.000000;0.999580;1.000000;0.999980;1.000000;1.000000;1.000000;0.278170;1.000000;0.576840;1.000000
0.014744;0.014999;0.006982;0.017024;0.028979;0.030690;0.003447;0.060748;0.043723;0.045690;0.010429;0.077771;0.886917;0.890250;0.742056;0.922111;0.885550;0.888544;0.687417;0.919833;0.824040;1.000000;0.998720;1.000000;0.748630;1.000000;0.997670;1.000000;0.999990;1.000000;1.000000;1.000000;0.279440;1.000000;0.582810;1.000000
